image_name,Type_1,Type_2,Type_3
0.jpg,7.2327e-36,0.0,1.0
1.jpg,0.0,0.0,1.0
10.jpg,0.0,0.0,1.0
100.jpg,7.36422e-27,0.0,1.0
101.jpg,1.85302e-33,0.0,1.0
102.jpg,0.0,0.0,1.0
103.jpg,0.0,0.0,1.0
104.jpg,0.0,0.0,1.0
105.jpg,1.57328e-30,0.0,1.0
106.jpg,0.0,0.0,1.0
107.jpg,0.0,0.0,1.0
108.jpg,0.0,0.0,1.0
109.jpg,0.0,0.0,1.0
11.jpg,0.0,0.0,1.0
110.jpg,2.99386e-34,0.0,1.0
111.jpg,0.0,0.0,1.0
112.jpg,3.86551e-22,0.0,1.0
113.jpg,3.32438e-31,0.0,1.0
114.jpg,0.0,0.0,1.0
115.jpg,0.0,0.0,1.0
116.jpg,0.0,0.0,1.0
117.jpg,9.17391e-26,0.0,1.0
118.jpg,0.0,0.0,1.0
119.jpg,0.0,0.0,1.0
12.jpg,1.04582e-33,0.0,1.0
120.jpg,2.96379e-22,0.0,1.0
121.jpg,2.62875e-30,0.0,1.0
122.jpg,1.73456e-18,0.0,1.0
123.jpg,0.0,0.0,1.0
124.jpg,3.47372e-28,0.0,1.0
125.jpg,0.0,0.0,1.0
126.jpg,0.0,0.0,1.0
127.jpg,0.0,0.0,1.0
128.jpg,0.0,0.0,1.0
129.jpg,0.0,0.0,1.0
13.jpg,0.0,0.0,1.0
130.jpg,0.0,0.0,1.0
131.jpg,0.0,0.0,1.0
132.jpg,0.0,0.0,1.0
133.jpg,4.7792e-33,0.0,1.0
134.jpg,1.0,0.0,1.39501e-13
135.jpg,0.0,0.0,1.0
136.jpg,0.0,0.0,1.0
137.jpg,0.0,0.0,1.0
138.jpg,0.0,0.0,1.0
139.jpg,0.0,0.0,1.0
14.jpg,3.21191e-31,0.0,1.0
140.jpg,1.39039e-30,0.0,1.0
141.jpg,1.2128e-24,0.0,1.0
142.jpg,0.0,0.0,1.0
143.jpg,0.0,0.0,1.0
144.jpg,1.36352e-38,0.0,1.0
145.jpg,0.0,0.0,1.0
146.jpg,0.0,0.0,1.0
147.jpg,0.0,0.0,1.0
148.jpg,0.0,0.0,1.0
149.jpg,1.05503e-13,0.0,1.0
15.jpg,0.0,0.0,1.0
150.jpg,0.0,0.0,1.0
151.jpg,4.20862e-37,0.0,1.0
152.jpg,0.0,0.0,1.0
153.jpg,0.0,0.0,1.0
154.jpg,0.0,0.0,1.0
155.jpg,0.0,0.0,1.0
156.jpg,4.21226e-36,0.0,1.0
157.jpg,0.0,0.0,1.0
158.jpg,0.0,0.0,1.0
159.jpg,0.0,0.0,1.0
16.jpg,0.0,0.0,1.0
160.jpg,0.0,0.0,1.0
161.jpg,0.0,0.0,1.0
162.jpg,1.0,0.0,4.12325e-08
163.jpg,0.0,0.0,1.0
164.jpg,8.55313e-38,0.0,1.0
165.jpg,0.0,0.0,1.0
166.jpg,0.0,0.0,1.0
167.jpg,0.0,0.0,1.0
168.jpg,0.0,0.0,1.0
169.jpg,1.44882e-17,0.0,1.0
17.jpg,0.0,0.0,1.0
170.jpg,0.0,0.0,1.0
171.jpg,0.0,0.0,1.0
172.jpg,0.0,0.0,1.0
173.jpg,0.0,0.0,1.0
174.jpg,3.83592e-26,0.0,1.0
175.jpg,0.0,0.0,1.0
176.jpg,0.0,0.0,1.0
177.jpg,7.13056e-23,0.0,1.0
178.jpg,4.72676e-25,0.0,1.0
179.jpg,1.33541e-31,0.0,1.0
18.jpg,0.0,0.0,1.0
180.jpg,1.72987e-21,0.0,1.0
181.jpg,1.24446e-31,0.0,1.0
182.jpg,6.07017e-31,0.0,1.0
183.jpg,0.0,0.0,1.0
184.jpg,1.39873e-07,0.0,1.0
185.jpg,0.0,0.0,1.0
186.jpg,4.792e-37,0.0,1.0
187.jpg,0.0,0.0,1.0
188.jpg,0.0,0.0,1.0
189.jpg,0.0,0.0,1.0
19.jpg,0.0,0.0,1.0
190.jpg,0.0,0.0,1.0
191.jpg,0.0,0.0,1.0
192.jpg,0.0,0.0,1.0
193.jpg,0.0,0.0,1.0
194.jpg,6.41293e-26,0.0,1.0
195.jpg,2.74468e-17,0.0,1.0
196.jpg,0.0,0.0,1.0
197.jpg,0.0,0.0,1.0
198.jpg,4.15892e-14,0.0,1.0
199.jpg,0.0,0.0,1.0
2.jpg,0.0,0.0,1.0
20.jpg,0.0,0.0,1.0
200.jpg,4.85916e-35,0.0,1.0
201.jpg,0.0,0.0,1.0
202.jpg,0.0,0.0,1.0
203.jpg,4.00037e-38,0.0,1.0
204.jpg,0.0,0.0,1.0
205.jpg,7.99928e-26,0.0,1.0
206.jpg,0.860358,0.0,0.139642
207.jpg,0.0,0.0,1.0
208.jpg,0.0,0.0,1.0
209.jpg,0.0,0.0,1.0
21.jpg,0.0,0.0,1.0
210.jpg,0.0,0.0,1.0
211.jpg,1.07471e-27,0.0,1.0
212.jpg,1.51636e-27,0.0,1.0
213.jpg,4.25389e-36,0.0,1.0
214.jpg,0.0,0.0,1.0
215.jpg,0.0,0.0,1.0
216.jpg,0.0,0.0,1.0
217.jpg,5.27251e-35,0.0,1.0
218.jpg,7.63536e-25,0.0,1.0
219.jpg,1.32507e-13,0.0,1.0
